CANAL;COMENTARIO
CONOCE-AQUI;falta botón de siguiente página
CONOCE-AQUI;"ECXELENTE
"
CONOCE-AQUI;U
CONOCE-AQUI;LL
CONOCE-AQUI;a
CONOCE-AQUI;1
CONOCE-AQUI;Exelente con el resultado de búsqueda 
CONOCE-AQUI;yes
CONOCE-AQUI;TUDOBEM
CONOCE-AQUI;1
CONOCE-AQUI;Muy buen servicio
CONOCE-AQUI;Muy buen servicio. Gracias.
CONOCE-AQUI;1
CONOCE-AQUI;excelente, sigamos avanzando.
CONOCE-AQUI;muy buena plataforma 
CONOCE-AQUI;S
CONOCE-AQUI;1
CONOCE-AQUI;1
CONOCE-AQUI;I
CONOCE-AQUI;EXCELENTE
CONOCE-AQUI;Excelente 
CONOCE-AQUI;a
CONOCE-AQUI;awd
CONOCE-AQUI;No puedo ver los otros asientos
CONOCE-AQUI;2
CONOCE-AQUI;dfgsdfbsd
CONOCE-AQUI;zsdfvzf
CONOCE-AQUI;Bien
CONOCE-AQUI;muy lento
CONOCE-AQUI;EXCELENTE
CONOCE-AQUI;OK
CONOCE-AQUI;Gracias.
CONOCE-AQUI;buen servicio
CONOCE-AQUI;j
CONOCE-AQUI;Excelente
CONOCE-AQUI;<zX>X
CONOCE-AQUI;bien
CONOCE-AQUI;Bien
CONOCE-AQUI;a
CONOCE-AQUI;S
CONOCE-AQUI;Ok
CONOCE-AQUI;OK
CONOCE-AQUI;ok
CONOCE-AQUI;Nada
CONOCE-AQUI;PERFECTO
CONOCE-AQUI;.
CONOCE-AQUI;.
CONOCE-AQUI;MUY BIEN
CONOCE-AQUI;OK GRACIAS TENGA BUENOS DIAS
CONOCE-AQUI;dsgtfgsf
CONOCE-AQUI;b
CONOCE-AQUI;vdfv
CONOCE-AQUI;Excelente 
CONOCE-AQUI;6whshw
CONOCE-AQUI;MUY BUENO
CONOCE-AQUI;"Bien, es fácil de ingresar y la consulta es rápida y eficiente.
Gracias"
CONOCE-AQUI;:)
CONOCE-AQUI;:)
CONOCE-AQUI;gchjfghxg
CONOCE-AQUI;si esta muy bien gracias ha sido de gran ayuda
CONOCE-AQUI;De
CONOCE-AQUI;bien
CONOCE-AQUI;GRACIAS
CONOCE-AQUI;OK
