COMENTARIO;frecuencia
ok;41800
bien;15595
excelente;12184
bueno;7177
gracias;4002
muy bueno;3941
a;3494
buena;2240
buen servicio;2217
muy bien;2000
1;1950
excelente servicio;1814
si;1740
todo bien;1732
k;1403
muy buena;1160
exelente;1049
ninguno;833
todo ok;832
ninguna;717
genial;705
muy buen servicio;680
conforme;639
good;584
mas tiempo;556
no;530
perfecto;528
0;509
q;430
hola;389
muy util;388
10;354
2;351
mas intentos;325
muchas gracias;313
rapido;305
nada;286
3;276
esta bien;263
agil;220
muy poco tiempo;208
buena informacion;206
poco tiempo;192
buenazo;186
5;186
super;182
no se puede imprimir;179
felicitaciones;160
lo maximo;158
no carga;158
123;154
u;154
yes;147
buenisimo;147
buen;140
xxxx;138
aaaa;137
4;134
satisfecho;133
util;131
todo muy bien;129
muy buena informacion;122
regular;121
asdasd;120
chevere;118
excelente informacion;116
excelente gracias;108
eficiente;107
todo excelente;103
malo;102
okey;101
excelente plataforma;97
sin comentarios;92
facil;92
interesante;90
buena atencion;89
exelente servicio;88
mas visualizaciones;87
todo bien gracias;84
nice;80
imprimir;80
muy lento;79
que se pueda imprimir;78
buena plataforma;77
muy buena plataforma;76
okok;76
muy pocas opciones;74
todo conforme;72
rapidez;72
like;72
mayor difusion;70
pesimo;70
6;69
asdas;69
excelente ayuda;67
aaaaa;67
ssss;65
esta muy bien;65
cool;63
mejorar;63
buen servicio gracias;63
11;63
tiempo;62
no puedo imprimir;61
bacan;61
no funciona;60
very good;60
muy bueno gracias;60
no se puede descargar;60
muy bien gracias;59
buena pagina;59
sigan asi;59
feliz;58
muy satisfecho;58
ampliar el tiempo de uso;58
exce;58
sdsd;57
22;57
20;57
bien gracias;56
100;56
mas opciones;56
dddd;55
mas vistas;54
muy practico;54
practico;54
mas o menos;54
muy interesante;54
excelente servicio gracias;54
muy buena pagina;53
gracias por el servicio;53
buen canal;50
9;50
muy bueno el servicio;50
esta bueno;50
de mucha ayuda;50
correcto;49
listo;49
lento;48
asda;48
excelente herramienta;47
excelente pagina;47
oka;47
todo perfecto;46
buen trabajo;45
excelnte;45
gracias por la informacion;45
okkk;45
buena ayuda;45
buena herramienta;45
bbbb;44
exclente;43
muy buena ayuda;43
excelente aplicacion;43
buena aplicacion;42
asdad;42
sigan mejorando;42
no se visualiza nada;41
poder imprimir;41
ningun;40
muy buena herramienta;40
optimo;40
ya;40
ffff;40
biem;40
dasd;40
me gusta;40
opcion de imprimir;39
muy eficiente;39
muy buena aplicacion;39
8;38
opcion para imprimir;38
no se puede visualizar;38
12;37
muy buena atencion;37
muy buen servicio gracias;37
111;36
es bueno;36
muy util gracias;36
55;35
super bien;35
excelente el servicio;35
00;35
mmmm;35
todo esta bien;34
print;34
lo mejor;34
no carga la pagina;33
no se visualiza;33
nnnn;33
mala;33
rapida;33
buenaso;33
es rapida;33
no me deja retroceder a hacer otra consulta debo colocar otro dni mejoren eso;32
asas;32
7;32
hhhh;32
excelente aplicativo;32
ayuda mucho;32
cccc;32
sdasd;32
dfdf;31
